candidate_id,myneta_url,candidate,constituency_id,constituency,age,party_code,criminal_cases_flag,education_level,movable_assets,movable_assets_rs,movable_assets_img,immovable_assets,immovable_assets_rs,immovable_assets_img,total_assets,total_assets_rs,total_assets_img,liabilities,liabilities_rs,liabilities_img,pan_given,serious_ipc_counts
2973,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2973,Pagutharivalan A.,2,JAYANKONDAM,35,Tamizhaga Vaazhvurimai Katchi,Yes 2,Graduate Professional,,,1,"47,50,000 ~ 47 Lacs+",4750000,,,,1,"7,24,850 ~ 7 Lacs+",724850,,Y,1
442,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=442,Ravanan M.,2,JAYANKONDAM,59,Naadaalum Makkal Katchi,No,12th Pass,,,1,"1,00,000 ~ 1 Lacs+",100000,,,,1,"8,70,000 ~ 8 Lacs+",870000,,Y,0
2974,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2974,Ravisankar N.,2,JAYANKONDAM,54,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Yes 6,12th Pass,,,1,"1,78,50,000 ~ 1 Crore+",17850000,,,,1,"2,31,30,615 ~ 2 Crore+",23130615,,Y,3
50,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=50,Revathi K.,2,JAYANKONDAM,37,Naam Tamilar Katchi,No,Post Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
2972,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2972,Sankar M.,2,JAYANKONDAM,42,Rashtriya Samaj Dal (R),No,5th Pass,,,1,0 ~,0,,,,1,0 ~,0,,N,0
765,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=765,Vaithilingam G.,2,JAYANKONDAM,52,Pattali Makkal Katchi,Yes 1,12th Pass,,,1,"3,44,11,000 ~ 3 Crore+",34411000,,,,1,"19,17,424 ~ 19 Lacs+",1917424,,Y,0
2982,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2982,Venkatajalapathi R.,2,JAYANKONDAM,59,IND,No,8th Pass,,,1,"20,49,680 ~ 20 Lacs+",2049680,,,,1,"75,000 ~ 75 Thou+",75000,,Y,0
441,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=441,Vezhaventhan D.,2,JAYANKONDAM,40,IND,No,Doctorate,,,1,"50,50,000 ~ 50 Lacs+",5050000,,,,1,"9,44,800 ~ 9 Lacs+",944800,,Y,0
2981,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2981,Vinothsavariremijeas C.,2,JAYANKONDAM,36,IND,Yes 1,10th Pass,,,1,"4,09,00,000 ~ 4 Crore+",40900000,,,,1,"2,25,58,374 ~ 2 Crore+",22558374,,Y,0
139,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=139,A. Babu Mailan,3,ROYAPURAM,54,Naam Tamilar Katchi,No,Others,,,1,"25,80,000 ~ 25 Lacs+",2580000,,,,1,"46,58,722 ~ 46 Lacs+",4658722,,Y,0
1556,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1556,A. Jayakumar,3,ROYAPURAM,43,IND,No,Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1549,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1549,A. Nizar Ahamed,3,ROYAPURAM,57,IND,No,Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1543,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1543,A. Sasikumar,3,ROYAPURAM,39,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1536,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1536,A. Sathik Kumar,3,ROYAPURAM,36,Democratic National Allegiance,No,Graduate,,,1,0 ~,0,,,,1,"1,50,000 ~ 1 Lacs+",150000,,Y,0
1559,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1559,C. Sridhar,3,ROYAPURAM,43,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
330,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=330,D. Jayakumar,3,ROYAPURAM,65,AIADMK,Yes 2,Graduate Professional,,,1,"64,00,000 ~ 64 Lacs+",6400000,,,,1,"32,34,209 ~ 32 Lacs+",3234209,,Y,3
1557,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1557,D. Jayakumar,3,ROYAPURAM,42,IND,No,Post Graduate,,,1,"2,00,000 ~ 2 Lacs+",200000,,,,1,"73,90,000 ~ 73 Lacs+",7390000,,Y,0
329,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=329,Dr. A. Subair Khan,3,ROYAPURAM,49,DMK,Yes 1,Post Graduate,,,1,"4,36,77,000 ~ 4 Crore+",43677000,,,,1,"5,65,05,410 ~ 5 Crore+",56505410,,Y,1
1541,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1541,G. Karthikeyan,3,ROYAPURAM,31,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1558,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1558,I Jayaprakash,3,ROYAPURAM,39,IND,No,Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1547,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1547,J. Selvakumar,3,ROYAPURAM,50,IND,No,8th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1551,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1551,K. Prasath,3,ROYAPURAM,44,IND,No,10th Pass,,,1,"7,80,000 ~ 7 Lacs+",780000,,,,1,0 ~,0,,Y,0
1546,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1546,K.J. Sivakumar,3,ROYAPURAM,47,IND,No,Graduate Professional,,,1,"40,00,000 ~ 40 Lacs+",4000000,,,,1,0 ~,0,,Y,0
1539,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1539,K.V. Vijay Damu,3,ROYAPURAM,46,Tamilaga Vettri Kazhagam,Yes 4,8th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1542,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1542,Kerthivarunnan .R,3,ROYAPURAM,45,IND,No,Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1548,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1548,M Dhinakaran,3,ROYAPURAM,48,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1535,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=1535,M. Jayarajkumar,3,ROYAPURAM,29,BSP,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1552,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1552,M. Mahalakshmi,3,ROYAPURAM,61,IND,No,Graduate Professional,,,1,"89,00,000 ~ 89 Lacs+",8900000,,,,1,"19,00,000 ~ 19 Lacs+",1900000,,Y,0
1537,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1537,M. Rajkumar,3,ROYAPURAM,44,Tamizhaga Vaazhvurimai Katchi,No,Graduate Professional,,,1,0 ~,0,,,,1,"9,40,617 ~ 9 Lacs+",940617,,Y,0
1544,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1544,M. Shanmugam,3,ROYAPURAM,29,IND,No,Post Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1545,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1545,P. Sumathi,3,ROYAPURAM,53,IND,No,10th Pass,,,1,0 ~,0,,,,1,"97,500 ~ 97 Thou+",97500,,Y,0
1555,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1555,R. Rajkumar,3,ROYAPURAM,29,IND,No,Post Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1538,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1538,R. Vinothkumar,3,ROYAPURAM,38,Naam Indiar Party,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1553,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1553,S. Raju,3,ROYAPURAM,26,IND,No,10th Pass,,,1,"1,50,000 ~ 1 Lacs+",150000,,,,1,0 ~,0,,Y,0
