candidate,party,criminal_cases,education,age,myneta_url
G.Venkatachalam,AIADMK,0,8th Pass,57,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=182
Imayaeswaran N,Naam Tamilar Katchi,0,Others,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2756
M Ahamedshahjahan,MGR Makkal Katchi,1,Post Graduate,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=48
M.P.Panneer Selvam,National Peoples Party,0,Post Graduate,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2755
M.R.Nawazudieen,IND,0,10th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2763
N Devaraj,IND,0,8th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2762
P.Ramachandran,IND,0,12th Pass,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2766
R Palanisamy,IND,0,10th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2764
R S Guru Chakravarthy,Makkal Needhi Maiam,0,Post Graduate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2757
R Senthilkumar,IND,0,10th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2761
S Rajasekar,IND,0,5th Pass,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2767
S Velan,BSP,0,Post Graduate,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2003
T.Vijaya Raj,IND,0,10th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2768
Vaathiar C Murugan,Ambedkarite Party of India,0,8th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=49
E.Balasubramaniyan,AIADMK,0,Graduate,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=179
A.S.Saravanan,DMK,2,5th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2004
B.Devi,IND,0,Literate,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2789
D.M.Mohammad Nazeerudeen,IND,0,Post Graduate,75,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2793
K.Mariappan,IND,0,10th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2792
K.N.Veerasenan,IND,0,Post Graduate,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2795
K.Selvaraj,IND,0,8th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2778
K.Yasin Basha,IND,0,5th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2794
M.Periyasamy,IND,0,5th Pass,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2790
M.Prabu Manikandan,Makkal Needhi Maiam,0,Graduate Professional,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2770
M.Sundar,Ambedkarite Party of India,0,8th Pass,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=180
N.Mayakannan,IND,0,8th Pass,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2791
R.Elavarasan,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,8th Pass,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=619
R.Sundaram,IND,0,5th Pass,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2777
R.Velmurugan,CPI(ML)(L),0,Literate,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=621
S.Krishnakumar,IND,0,8th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2773
S.Murali,BSP,0,Graduate Professional,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2005
S.Raji,Dhesiya Makkal Kazhagam,0,5th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2772
S.Saravanan,IND,0,10th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2775
Samundeswari.V,IND,0,10th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2776
Sathiyapriya,RPI(A),0,Graduate,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2769
Se.Venkatajalam,Amma Makkal Munnettra Kazagam,2,10th Pass,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=181
M.K. Mohan,DMK,4,8th Pass,68,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=297
A. Jayaprakash,IND,0,10th Pass,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2151
Ansar Ahamed,Anaithu Makkal Arasiyal Katchi,0,10th Pass,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2136
D. Jeevithkumar,BSP,0,Graduate,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2135
Hari Shankar,IND,0,Others,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2152
J. Nagaraj,New Generation Peoples Party,0,Others,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2138
K. Sathish Kumar,IND,0,Graduate Professional,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2146
K.N. Gunasekaran,Amma Makkal Munnettra Kazagam,0,5th Pass,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=795
L. Kasinathan,IND,0,Graduate Professional,64,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2143
M. Veriyandi,Anna MGR Dravida Makkal Kalgam,0,Illiterate,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2142
P. Dhanasekar,Nam India Naam Indiyar Katchi,1,10th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2137
P. Manimaran,IND,0,5th Pass,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2149
P.E. Gopinath,IND,0,10th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2144
R. Saravanan,IND,0,Post Graduate,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2147
S. Gokula Indira,AIADMK,0,Post Graduate,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=296
S. Sathyanarayanan,IND,0,10th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2145
S. Yuvaraja,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,8th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2141
S.D. Prabhakar,Tamil Nadu Ilangyar Katchi,0,Graduate Professional,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2139
V. Paulraj Guna,RPI(A),0,12th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=796
V. Ponraj,Makkal Needhi Maiam,0,Doctorate,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2140
V.M. Nagarajan,IND,0,Post Graduate,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2148
Rajamuthu M,AIADMK,0,Graduate,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2100
"Amutha, R.",Indiya Jananayaka Katchi,0,10th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2803
Chinnanann M,BSP,0,Graduate,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2102
Indrajith Guptha,IND,0,Others,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2808
"Mani, M.",My India Party,0,10th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2806
"Manikandan, S.",All India Jananayaka Makkal Kazhagam,0,Others,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2807
Mohan P,SUCI(C),0,12th Pass,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=133
"Mohan, V.",IND,0,Illiterate,61,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2812
"Prabakaran, P.",Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,Others,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2805
"Rajarathinam, K.",IND,0,Graduate,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2814
Rajeshkumar S,Naam Tamilar Katchi,0,10th Pass,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=134
"Ramesh, C.",IND,0,12th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2813
Sathiyavani,Dhesiya Makkal Kazhagam,0,Illiterate,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2804
"Sekar, M.",IND,0,5th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2811
Selvam S K,Amma Makkal Munnettra Kazagam,4,10th Pass,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=132
"Senthilkumar, J.",IND,0,8th Pass,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2809
"Senthilmurugan, E.",IND,0,12th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2810
"Vaithi, M.",IND,0,12th Pass,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2816
"Venkat, A.",IND,0,8th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2815
S.Mangudi,INC,9,Graduate,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1211
A.Ganesan,IND,0,Graduate Professional,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1203
A.Paramasivam,IND,0,10th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1204
B.Vanitha,Puthiya Tamilagam,0,8th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1207
Dherpoki V Pandi,Amma Makkal Munnettra Kazagam,5,10th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=460
H.Raja,BJP,4,Graduate Professional,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=461
K.Velu,IND,0,8th Pass,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1210
M.Naina Mohamed,IND,0,Others,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=459
N.Baluswamy,BSP,0,5th Pass,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1206
N.Meenal,IND,1,5th Pass,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3367
Rajkumar.G,Anna MGR Dravida Makkal Kalgam,0,5th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1208
Kr.Periyakaruppan,DMK,18,Graduate,62,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2071
A.Amalan Savarimuthu,Indiya Jananayaka Katchi,1,Graduate,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3368
A.Karthika,IND,0,8th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=710
A.Mallika,IND,0,Illiterate,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=712
A.Parthasarathy,IND,0,8th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3376
Anandhan K,IND,0,5th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=713
C.Kannan,IND,0,8th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=715
C.Paramasivam,IND,0,Graduate,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3375
G.Abdul Kishore Babu,IND,0,Graduate Professional,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3373
K.S.K.Rajesh,IND,0,Illiterate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=716
K.Veerapandian,My India Party,0,Graduate,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3372
Kottaikumar,Naam Tamilar Katchi,0,Graduate,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=717
M.Mohamed Rabeek,IND,0,12th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3378
M.Saraswathi,Puthiya Tamilagam,0,8th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3370
Marudhu Alaguraj,AIADMK,0,12th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2072
Muthulakshmi,IND,0,Graduate,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3379
P.Rajeswari,IND,0,10th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3381
P.Selvaraj,IND,0,10th Pass,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3374
Palaniappan,IND,0,10th Pass,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=711
Periyasamy,IND,0,8th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3377
Renuka,IND,0,10th Pass,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3382
Rm.Murugesan,IND,0,8th Pass,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3380
S.Murugan,Anaithu Makkal Puratchi Katchi,0,5th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3371
Pr.Senthilnathan,AIADMK,1,Graduate Professional,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=646
C.Kaningprabhu,IND,0,8th Pass,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3387
Dr.A.Parthasarathy,IND,0,Doctorate,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3390
Joseph. C,Makkal Needhi Maiam,1,Post Graduate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3385
K.Anbarasan,Amma Makkal Munnettra Kazagam,0,Graduate Professional,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=644
K.Kalaiselvam,IND,0,8th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3386
M.Ravi,IND,0,5th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=169
M.Thirukumaran,IND,0,Others,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3389
N.Pandimuthu,My India Party,0,8th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3384
R.Gunasekaran,IND,0,8th Pass,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3388
R.Mallika,Naam Tamilar Katchi,0,Post Graduate,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=645
S.Gunasekaran,CPI,30,10th Pass,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2027
Vadivel. C,Anaithu Makkal Puratchi Katchi,0,8th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=643
Vimalraj,IND,0,Graduate Professional,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3391
Tamilarasi A.,DMK,8,Graduate,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1540
Chandrasekar M.,Anaithu Makkal Puratchi Katchi,0,Post Graduate,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1541
Duraipandi M.,IND,0,Graduate Professional,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3394
Karuppaiah S.,IND,0,5th Pass,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3396
Muralitharan M.,Anna MGR Dravida Makkal Kalgam,0,Illiterate,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1542
Muthumari K.,IND,0,5th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1543
Nagarajan S.,AIADMK,1,Graduate Professional,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=541
Rajaiah C.,IND,0,10th Pass,57,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3393
Rajendran A.,My India Party,0,5th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3395
Sivasankari P.,Makkal Needhi Maiam,0,Graduate,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1539
Thamaraiselvi S.,IND,0,12th Pass,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1538
Paul Manoj Pandian,AIADMK,3,Post Graduate,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=293
A.Udhayakumar,Puthiya Tamilagam,1,Graduate,28,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2123
Arunkumar.K,IND,0,Graduate,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2124
Dr.Poongothai Aladi Aruna,DMK,10,Graduate Professional,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=772
Hari Nadar.A,IND,15,12th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=295
K.Sivaram,IND,0,5th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=294
M.Sangeetha Esak,Naam Tamilar Katchi,0,10th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=348
Rajendranathan,DMDK,2,Graduate,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=768
S.Selvakumar,Makkal Needhi Maiam,0,Graduate,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=770
C.Krishnamurali,AIADMK,1,Graduate,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=442
A.Ganesan,IND,0,8th Pass,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3723
Avani Raja.T,IND,0,Graduate Professional,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1131
Ayyadurai R,IND,0,8th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3722
K.A.M.Muhammed Abubacker,IUML,8,12th Pass,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=441
K.Radha Krishnan,IND,0,8th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1128
M.Ambikadevi,Makkal Needhi Maiam,0,Post Graduate,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3720
M.Ayyadurai,IND,0,10th Pass,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3721
Mariduraipandian,IND,0,12th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1132
P.Raji,IND,0,8th Pass,25,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1133
Poologaraj R,IND,0,10th Pass,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3728
R.Krishnan,IND,0,Illiterate,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3724
Raja Ponnusamy,IND,0,Graduate,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1130
S.Ayyaduraipandian,Amma Makkal Munnettra Kazagam,1,Post Graduate,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1127
S.Muruganantham,IND,0,10th Pass,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3729
S.Raja Ram,New Generation Peoples Party,0,Graduate,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1134
Sivasubramaniyan R,IND,0,Graduate Professional,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3726
Velammal,IND,0,10th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3730
Raja E,DMK,3,Post Graduate,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1628
Annadurai R,Amma Makkal Munnettra Kazagam,0,Graduate Professional,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1624
Balamurugesan M,Bahujan Dravida Party,0,10th Pass,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1626
Ganesan A,IND,0,Graduate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1619
Gururaj P,IND,1,Literate,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1615
Karuthapandiyan R,IND,0,Graduate,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1622
Mahendrakumari P,Naam Tamilar Katchi,0,Post Graduate,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1627
Mathankumar K,My India Party,0,8th Pass,28,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1616
Muthukkutti S,IND,0,Literate,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1623
Prabhu K,Makkal Needhi Maiam,1,Graduate Professional,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1617
Rajalakshmi V M,AIADMK,1,Post Graduate,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1629
Subramaniam V,Puthiya Tamilagam,0,Literate,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1625
Valliammal M,IND,0,8th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1620
Vetrimaran A,IND,0,10th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1614
Arokkiya Prabhu.J,IND,0,Graduate Professional,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3740
Chandrasegar.S,Puthiya Tamilagam,0,8th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3733
Doctor. Karuppasamy.S,IND,0,Doctorate,64,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3741
Jeganathan.M,Anaithu Makkal Puratchi Katchi,0,12th Pass,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3739
Madasamy.A,IND,2,Literate,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3744
Mohamed.S,Amma Makkal Munnettra Kazagam,0,10th Pass,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3737
Palanikumar.A,IND,0,8th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3742
Palanimurugan.P,IND,0,5th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3743
Reegankumar. M,IND,10,10th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3746
Selva Mohandas Pandian.S,AIADMK,1,Others,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=164
Selvakumar.R,Naam Indiar Party,0,10th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3735
Sureshkumar.S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,8th Pass,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3734
Thirumalaimuthu.R,Makkal Needhi Maiam,0,Graduate,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3736
Udhayakumar.K.M,Anna Dravidar Kazhagam,0,10th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3732
Vincentraj.R,Naam Tamilar Katchi,0,10th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=657
Amv.Prabhakara Raja,DMK,6,Post Graduate,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2112
B.Parthasarathy,DMDK,3,10th Pass,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2113
D.Prabakaran,IND,0,5th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2253
D.Sundar Singh,IND,0,12th Pass,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2250
E.Sankar,IND,0,8th Pass,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2246
G.Thanigachalam,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,8th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2237
K.Boopathy,IND,0,Graduate Professional,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2254
M.Ellangovan,IND,0,Post Graduate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2241
M.Mannu,IND,0,Graduate,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2255
M.S.Ismail Khan,All India Jananayaka Makkal Kazhagam,0,Not Given,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2235
M.Sivakumar,IND,0,5th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2248
M.Srinivasan,IND,0,Graduate Professional,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2249
Manju,Anaithu Makkal Arasiyal Katchi,0,8th Pass,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2239
R.Mayilsamy,IND,0,5th Pass,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=123
R.Prabaharan,Tamizhaga Murpokku Makkal Katchi,0,Post Graduate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2238
S.Gunasekar,IND,0,10th Pass,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2243
Sathasivam,IND,0,Graduate,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2247
Senegan,Makkal Needhi Maiam,0,12th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2236
T.S.Rajendran,Naam Tamilar Katchi,0,12th Pass,57,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=124
V.Gunasekaran,IND,0,10th Pass,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2245
V.K.Kathir,IND,0,Graduate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2242
V.K.Senthil Kumar,IND,0,Graduate Professional,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2251
V.Thalapathi,IND,0,Graduate,53,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2252
Virugai V.N.Ravi,AIADMK,0,Graduate,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=311
"Sadhan Thirumalaikumar, Doctor.T",DMK,1,Graduate Professional,68,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1613
Chinnasamy M,Makkal Needhi Maiam,0,5th Pass,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1608
Eswaran M,New Generation Peoples Party,0,Illiterate,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1611
Jayakumar P L A,Tamil Nadu Ilangyar Katchi,0,10th Pass,57,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1609
Manoharan A,AIADMK,0,12th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1612
Mathivanan S S,Naam Tamilar Katchi,4,Graduate Professional,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1610
Muthupandi G,IND,0,5th Pass,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1605
Petchiammal V,Puthiya Tamilagam,0,Graduate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1606
Ramamoorthy P,IND,0,Graduate,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1604
Thangaraj S,Amma Makkal Munnettra Kazagam,0,Graduate,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1603
"Dhanasekar, V.",IND,0,Graduate Professional,36,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3401
"Divya Bharathi, M.",Naam Tamilar Katchi,0,Graduate Professional,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=674
"Kannaiyan, N.",IND,0,10th Pass,64,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3400
"Kannaiyan, T.",CPI(ML)(L),0,8th Pass,60,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2051
