candidate,party,criminal_cases,education,age,myneta_url
Kamban,Anaithu Makkal Arasiyal Katchi,0,Others,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2537
Kavitha,Naam Tamilar Katchi,1,10th Pass,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=642
P.V.Bharathi,AIADMK,0,Graduate,62,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=641
Prabu,Makkal Needhi Maiam,0,12th Pass,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2535
Srithar,BSP,0,Doctorate,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2026
S Rajakumar,INC,1,Post Graduate,52,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1862
A Palanisamy,Pattali Makkal Katchi,3,Graduate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1864
Anbarasan Komal R K,Amma Makkal Munnettra Kazagam,0,Post Graduate,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2541
Babusankar.R,IND,0,8th Pass,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2548
Ganesan.S,IND,0,10th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2544
K Kasiraman,Naam Tamilar Katchi,0,12th Pass,47,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=117
Loga.Sampath,IND,0,12th Pass,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2545
M Rajendran,IND,0,10th Pass,58,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=116
Manimaran.T,IND,0,Others,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2549
Niranjan.R,IND,1,Graduate Professional,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2547
Rajkumar,Tamil Nadu Ilangyar Katchi,0,Post Graduate,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2543
Ravichandran.N,Makkal Needhi Maiam,0,Graduate,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2542
Thimothy.T,IND,0,5th Pass,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2546
A. Kalaivanan,IND,0,10th Pass,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2561
M.H.Meharajdeen,Makkal Needhi Maiam,0,8th Pass,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2560
P Kaliyammal,Naam Tamilar Katchi,0,Graduate,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=194
S.Pandiyarajan,IND,0,Graduate Professional,30,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2562
