party,constituency,candidate
NTK,HOSUR,Stalin
NTK,THALLI,Narasimman
NTK,PALACODE,Boopathy
NTK,PENNAGARAM,Palaniyammal
NTK,DHARMAPURI,Santha Lakshmi
NTK,PAPPIREDDIPPATTI,Archana Tamil Aruvi
NTK,HARUR,Anitha Annadurai
NTK,CHENGAM,J Shobha
NTK,TIRUVANNAMALAI,Vignesh
NTK,KILPENNATHUR,V. Loganathan
NTK,KALASAPAKKAM,Seetha
NTK,POLUR,umadevi prakash
NTK,ARANI,Thavamani Ramesh
NTK,CHEYYAR,Tamil Selvan
NTK,VANDAVASI,Ganesh
NTK,GINGEE,Krishnan
NTK,MAILAM,Vijay Vikram
NTK,TINDIVANAM,Petchimuthu
NTK,VANUR,Karikazhan
NTK,VILLUPURAM,Abhinaya Ponnivalavan
NTK,VIKRAVANDI,Suba chandrasekaran
NTK,TIRUKKOYILUR,Hemarajan
NTK,ULUNDURPETTAI,Logeshwari
NTK,RISHIVANDIYAM,Radhika
NTK,SANKARAPURAM,Ramesh
NTK,KALLAKURICHI,Nagammal
NTK,GANGAVALLI,Abirami Neduncheralathan
NTK,ATTUR,Monisha chinnadurai
NTK,YERCAUD,Palanisamy
NTK,OMALUR,Siva Sakthi
NTK,METTUR,Vidhya Veerapan
NTK,EDAPPADI,Priyadharshini
NTK,SANKARI,Nithya Arul
NTK,SALEM (WEST),Suresh Kumar
NTK,SALEM (NORTH),Gunaseela
NTK,SALEM (SOUTH),Sophiya
NTK,VEERAPANDI,Rajesh Kumar
NTK,RASIPURAM,Sasikala
NTK,SENTHAMANGALAM,Ponnumani
NTK,NAMAKKAL,Praveen
NTK,PARAMATHI-VELUR,Aravindh
NTK,TIRUCHENGODE,Revathi
NTK,KUMARAPALAYAM,Yuvarani
NTK,ERODE (EAST),Thandava Moorthy
NTK,ERODE (WEST),Vijay
NTK,MODAKKURICHI,Arun
NTK,DHARAPURAM,divya
NTK,KANGAYAM,Karmegan
NTK,PERUNDURAI,Logu
NTK,BHAVANI,Menaka Devi
NTK,ANTHIYUR,Anandhi
NTK,GOBICHETTIPALAYAM,Seetha Lakshmi
NTK,BHAVANISAGAR,Soundarya
NTK,UDHAGAMANDALAM,Ragupathu Deepan
NTK,GUDALUR,Karthik Ramakrishnan
NTK,COONOOR,dheenu
NTK,METTUPALAYAM,Gopalakrishnan
NTK,AVANASHI,Menaga
NTK,TIRUPPUR (NORTH),Abhinaya
NTK,TIRUPPUR (SOUTH),Perarivalan
NTK,PALLADAM,Thamizhinian
NTK,SULUR,Rajasekhar
NTK,KAVUNDAMPALAYAM,Kalamani
NTK,COIMBATORE (NORTH),Narmatha
NTK,THONDAMUTHUR,Rajabunisha
NTK,COIMBATORE (SOUTH),Perarivalan
NTK,SINGANALLUR,Nehruji
NTK,KINATHUKADAVU,Banupriya senthil kumar
NTK,POLLACHI,Senthil
NTK,VALPARAI,Uma Devi
NTK,UDUMALAIPETTAI,Ram Kumar
NTK,MADATHUKULAM,Radhamani
NTK,PALANI,Murugeshwari
NTK,ODDANCHATRAM,Ragupathi
NTK,ATHOOR,Simon Justin
NTK,NILAKKOTTAI,Kailai Rajan
NTK,NATHAM,Alagammal
NTK,DINDIGUL,Mutharasi
NTK,VEDASANDUR,Hussain
NTK,ARAVAKURICHI,Narain
NTK,KARUR,Karuppaiah
NTK,KRISHNARAYAPURAM,Sathya
NTK,KULITHALAI,Nanmaran
NTK,MANAPPARAI,Arunagiri
NTK,SRIRANGAM,Dharmaraj
NTK,TIRUCHIRAPPALLI (WEST),Bhuvaneshwari
NTK,TIRUCHIRAPPALLI (EAST),Krishnasamy
NTK,THIRUVERUMBUR,Jallikattu Rajesh
NTK,LALGUDI,Madhan
NTK,MANACHANALLUR,Thenmozhi
NTK,MUSIRI,Bakya Lakshmi
NTK,THURAIYUR,Gowsalya Suresh
NTK,PERAMBALUR,Johnsy Rani
NTK,KUNNAM,Keerthi vasan
NTK,ARIYALUR,Pugalendhi
NTK,JAYANKONDAM,Revathi Kalaimani
NTK,TITTAKUDI,Mahalakshmi
NTK,VRIDHACHALAM,Amudha nambi
NTK,NEYVELI,Veeramani
NTK,PANRUTI,Banu Priya
NTK,CUDDALORE,sarasu
NTK,KURINJIPADI,Sengolan
NTK,BHUVANAGIRI,Sumathi Srinivasan
NTK,CHIDAMBARAM,Tamil
NTK,KATTUMANNARKOIL,Sivajothi
NTK,SIRKAZHI,Subash
NTK,MAYILADUTHURAI,Kasiraman
NTK,POOMPUHAR,Ilaiya Nagulan
NTK,NAGAPATTINAM,Fathima Farhana
NTK,KILVELUR,Karthiga
NTK,VEDARANYAM,Idumbavanam Karthik
NTK,THIRUTHURAIPOONDI,Vinothini
NTK,MANNARGUDI,Bharathi Selvan
NTK,THIRUVARUR,Ashwini
NTK,NANNILAM,Theanmozhi Dileep Kumar
NTK,THIRUVIDAIMARUDUR,Divya Bharathi
NTK,KUMBAKONAM,Ananth
NTK,PAPANASAM,Aneesh Fathima
NTK,THIRUVAIYARU,Senthilnathan
NTK,THANJAVUR,Krishna Kumar
NTK,ORATHANADU,Thirumurugan
NTK,PATTUKKOTTAI,Kannan
NTK,PERAVURANI,Rajaram
NTK,GANDHARVAKOTTAI,Nadiya Tamilselvan
NTK,VIRALIMALAI,Sathya Laxshmi
NTK,PUDUKKOTTAI,Ezhilarasi
NTK,THIRUMAYAM,Lakshmi Srinivasan
NTK,ALANGUDI,Rajaraman
NTK,ARANTHANGI,Muthu Lakshmi
NTK,KARAIKUDI,Seeman
NTK,TIRUPPATTUR,Ramya mohan
NTK,SIVAGANGA,Indhuja Ramesh
NTK,MANAMADURAI,Shanmugapriya
NTK,MELUR,Kottai Kumar
NTK,MADURAI EAST,Selvam
NTK,SHOLAVANDAN,Nagalakshmi Thirumaran
NTK,MADURAI NORTH,Thirunavukkarasu
NTK,MADURAI SOUTH,Sathya devi
NTK,MADURAI CENTRAL,Durga kumaraswamy
NTK,MADURAI WEST,Vignesh kumar
NTK,THIRUPPARANKUNDRAM,Sathya devi
NTK,THIRUMANGALAM,Munis
NTK,USILAMPATTI,Abirami Dhanapal
NTK,ANDIPATTI,Arunadevi
NTK,PERIYAKULAM,Vimala
NTK,BODINAYAKANUR,Kalaiyarasu
NTK,CUMBUM,Anbu Selvi
NTK,RAJAPALAYAM,Karthik
NTK,SRIVILLIPUTHUR,Karikala pandiyan
NTK,SATTUR,Anandha Raja
NTK,SIVAKASI,Dayana
NTK,VIRUDHUNAGAR,Laxmanan
NTK,ARUPPUKKOTTAI,Manimaran
NTK,TIRUCHULI,Karthick raja
NTK,PARAMAKUDI,Ezhil izhavarasi
NTK,TIRUVADANAI,Premnath
NTK,RAMANATHAPURAM,Muthu kesavan
NTK,MUDUKULATHUR,Chandra Prabha
NTK,VILATHIKULAM,Balaji
NTK,THOOTHUKUDI,Jacob Abhishek devadasan
NTK,TIRUCHENDUR,Obiliya
NTK,SRIVAIKUNTAM,Shanmugasundaram
NTK,OTTAPIDARAM,Anusiya
NTK,KOVILPATTI,Pandi
NTK,SANKARANKOVIL,Kavitha
NTK,VASUDEVANALLUR,Isai Mathivanan
NTK,KADAYANALLUR,Abubakar Siddique
NTK,TENKASI,Gowshik Pandiyan
NTK,ALANGULAM,Palraj
NTK,TIRUNELVELI,Sathya
NTK,AMBASAMUDRAM,Sivasankaran
NTK,PALAYAMKOTTAI,Sankara narayanan
NTK,NANGUNERI,Selvam
NTK,RADHAPURAM,Girija Thamaraipandiyan
NTK,KANNIYAKUMARI,Maria Jenifer
NTK,NAGERCOIL,Muthukumar
NTK,COLACHEL,Ancy Sobha Rani
NTK,PADMANABHAPURAM,Seelan
NTK,VILAVANCODE,Maria Stella
NTK,KILLIYOOR,Himler
