candidate,party,criminal_cases,education,age,total_assets,liabilities,2021_constituency,2021_district,myneta_url,total_assets_rs,liabilities_rs,sitting_MLA,bye_election,const_off
Ambethkumar S,DMK,0,10th Pass,40,"Rs 1,54,26,000 ~1 Crore+",,VANDAVASI (SC),TIRUVANNAMALAI,https://www.myneta.info/tamilnadu2016/candidate.php?candidate_id=1509,15426000,,1,0,Vandavasi (SC)
Chezhiaan Govi.,DMK,0,Doctorate,50,"Rs 34,98,449 ~34 Lacs+","Rs 75,258 ~75 Thou+",THIRUVIDAIMARUDUR (SC),THANJAVUR,https://www.myneta.info/tamilnadu2016/candidate.php?candidate_id=1557,3498449,75258,1,0,Thiruvidaimarudur (SC)
Ruby R Manoharan,INC,1,10th Pass,60,"Rs 91,36,30,832 ~91 Crore+","Rs 6,77,69,586 ~6 Crore+",NANGUNERI,TIRUNELVELI,https://www.myneta.info/tamilnadu2016/candidate.php?candidate_id=4668,913630832,67769586,1,0,Nanguneri
Subramanian. Ma,DMK,4,Graduate Professional,56,"Rs 66,82,576 ~66 Lacs+",,SAIDAPET,CHENNAI,https://www.myneta.info/tamilnadu2016/candidate.php?candidate_id=699,6682576,,1,0,Saidapet
T.M.Anbarasan,DMK,10,10th Pass,56,"Rs 6,93,78,972 ~6 Crore+","Rs 8,65,800 ~8 Lacs+",ALANDUR,KANCHEEPURAM,https://www.myneta.info/tamilnadu2016/candidate.php?candidate_id=2343,69378972,865800,1,0,Alandur
Raajendran V.G.,DMK,0,Others,48,"Rs 17,56,28,058 ~17 Crore+","Rs 5,98,44,682 ~5 Crore+",THIRUVALLUR,THIRUVALLUR,https://www.myneta.info/tamilnadu2016/candidate.php?candidate_id=52,175628058,59844682,1,0,Thiruvallur
