candidate,party,criminal_cases,education,age,total_assets,liabilities,2021_constituency,2021_district,myneta_url,total_assets_rs,liabilities_rs,sitting_MLA,bye_election,const_off
Chinnappa K,DMK,4,Graduate Professional,73,"Rs 1,46,71,830 ~ 1 Crore+","Rs 29,95,179 ~ 29 Lacs+",ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=824,14671830,2995179,1,0,Ariyalur
Deva P,IND,0,12th Pass,40,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=823,72000,0,0,0,Ariyalur
Durai.Manivel,Amma Makkal Munnettra Kazagam,1,8th Pass,61,,,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=304,,,0,0,Ariyalur
Jawahar P,Indiya Jananayaka Katchi,0,Doctorate,40,"Rs 43,84,239 ~ 43 Lacs+","Rs 31,00,000 ~ 31 Lacs+",ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1690,4384239,3100000,0,0,Ariyalur
Kumar J,IND,0,12th Pass,32,"Rs 15,00,274 ~ 15 Lacs+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=825,1500274,0,0,0,Ariyalur
Manikannan M,IND,0,12th Pass,44,,,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=822,,,0,0,Ariyalur
Rajendran S,AIADMK,0,8th Pass,61,"Rs 1,07,81,933 ~ 1 Crore+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=251,10781933,0,0,0,Ariyalur
Ramesh K,IND,0,Post Graduate,44,"Rs 12,49,583 ~ 12 Lacs+","Rs 3,15,238 ~ 3 Lacs+",ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1689,1249583,315238,0,0,Ariyalur
Ravichandran S,IND,0,10th Pass,29,,,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1688,,,0,0,Ariyalur
Savarianandham V,BSP,0,Graduate Professional,45,"Rs 10,300 ~ 10 Thou+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=820,10300,0,0,0,Ariyalur
Sivathasan V,IND,0,12th Pass,39,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1687,20000,0,0,0,Ariyalur
Suguna Kumar,Naam Tamilar Katchi,0,10th Pass,34,,,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=362,,,0,0,Ariyalur
Thanga. Shanmuga Sundaram,New Generation Peoples Party,2,Post Graduate,43,"Rs 52,81,537 ~ 52 Lacs+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=305,5281537,0,0,0,Ariyalur
Ebenezer. J.J. Alias John Ebenezer.J,DMK,0,Post Graduate,45,"Rs 15,80,302 ~ 15 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1013,1580302,0,1,0,Dr. Radhakrishnan Nagar
Babu Mailan . A,RPI(A),0,Others,49,"Rs 42,10,279 ~ 42 Lacs+","Rs 7,00,000 ~ 7 Lacs+",DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1009,4210279,700000,0,0,Dr. Radhakrishnan Nagar
Boothirajan.G,IND,0,10th Pass,40,"Rs 95,46,625 ~ 95 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=289,9546625,0,0,0,Dr. Radhakrishnan Nagar
Daniel Sachin Mani.E,IND,0,Graduate,38,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=394,,,0,0,Dr. Radhakrishnan Nagar
Devakumar.R,IND,0,Graduate Professional,31,"Rs 10,41,000 ~ 10 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=389,1041000,0,0,0,Dr. Radhakrishnan Nagar
Devaraj.M,IND,0,8th Pass,42,"Rs 46,000 ~ 46 Thou+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1812,46000,0,0,0,Dr. Radhakrishnan Nagar
Dr. Kalidas . P,Amma Makkal Munnettra Kazagam,0,Post Graduate,54,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1004,,,0,0,Dr. Radhakrishnan Nagar
Ethiraj.R,IND,0,12th Pass,46,"Rs 7,66,738 ~ 7 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2306,766738,0,0,0,Dr. Radhakrishnan Nagar
Fazil . A,Makkal Needhi Maiam,0,Post Graduate,35,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1005,,,0,0,Dr. Radhakrishnan Nagar
Franklin.D,IND,0,Post Graduate,42,"Rs 6,73,193 ~ 6 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=395,673193,0,0,0,Dr. Radhakrishnan Nagar
Gowrishankar . K,Naam Tamilar Katchi,0,10th Pass,44,"Rs 66,25,617 ~ 66 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1006,6625617,0,0,0,Dr. Radhakrishnan Nagar
Gunasekaran.G,IND,0,Post Graduate,65,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=388,,,0,0,Dr. Radhakrishnan Nagar
Kalidass,IND,0,5th Pass,55,"Rs 5,61,500 ~ 5 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1821,561500,0,0,0,Dr. Radhakrishnan Nagar
Kandeepan.G,IND,0,12th Pass,49,"Rs 8,60,000 ~ 8 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1811,860000,0,0,0,Dr. Radhakrishnan Nagar
Madhan Raj . D,IND,0,Graduate Professional,44,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1008,,,0,0,Dr. Radhakrishnan Nagar
Marimuthu.P,IND,0,5th Pass,65,"Rs 51,82,400 ~ 51 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=11,5182400,0,0,0,Dr. Radhakrishnan Nagar
Mohan . R,United States of India Party,0,10th Pass,63,"Rs 8,000 ~ 8 Thou+","Rs 16,50,000 ~ 16 Lacs+",DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1010,8000,1650000,0,0,Dr. Radhakrishnan Nagar
Premkumar.P,IND,0,Post Graduate,42,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=393,,,0,0,Dr. Radhakrishnan Nagar
Purushothaman . K,IND,0,Graduate Professional,26,"Rs 2,89,331 ~ 2 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1818,289331,0,0,0,Dr. Radhakrishnan Nagar
Raajesh.R.S.,AIADMK,0,10th Pass,48,"Rs 5,44,70,228 ~ 5 Crore+","Rs 1,87,87,700 ~ 1 Crore+",DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=288,54470228,18787700,0,0,Dr. Radhakrishnan Nagar
Rajesh . I,IND,0,Graduate,40,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1007,,,0,0,Dr. Radhakrishnan Nagar
Rajesh . S,IND,0,Graduate Professional,35,"Rs 6,61,780 ~ 6 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1816,661780,0,0,0,Dr. Radhakrishnan Nagar
Ramadass . E,Makkal Nalvaazhvuk Katchi,0,8th Pass,68,"Rs 12,29,000 ~ 12 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1012,1229000,0,0,0,Dr. Radhakrishnan Nagar
Santhakumar . A,IND,0,Graduate Professional,31,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1817,,,0,0,Dr. Radhakrishnan Nagar
Sasidaran.S,IND,0,Post Graduate,37,"Rs 5,38,093 ~ 5 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1820,538093,0,0,0,Dr. Radhakrishnan Nagar
Sivakumar.S,SUCI(C),0,Others,31,"Rs 26,488 ~ 26 Thou+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=13,26488,0,0,0,Dr. Radhakrishnan Nagar
Sridhar . C,IND,0,Graduate Professional,39,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1815,,,0,0,Dr. Radhakrishnan Nagar
Venkatraman . C,IND,0,10th Pass,27,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1819,100000,0,0,0,Dr. Radhakrishnan Nagar
Venugopal.D,SHS,2,10th Pass,35,"Rs 4,37,080 ~ 4 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=12,437080,0,0,0,Dr. Radhakrishnan Nagar
Vijayan.P,BSP,0,Graduate Professional,35,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=386,,,0,0,Dr. Radhakrishnan Nagar
Vivek.C,IND,0,12th Pass,38,"Rs 6,09,258 ~ 6 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=391,609258,0,0,0,Dr. Radhakrishnan Nagar
Ayyappan P,AIADMK,1,Graduate,56,"Rs 50,13,217 ~ 50 Lacs+","Rs 10,61,000 ~ 10 Lacs+",USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=746,5013217,1061000,1,0,Usilampatti
Arumugam K,IND,0,Literate,51,"Rs 1,11,65,308 ~ 1 Crore+","Rs 20,00,000 ~ 20 Lacs+",USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3131,11165308,2000000,0,0,Usilampatti
Alagumurugesan K,IND,0,12th Pass,59,"Rs 77,000 ~ 77 Thou+",Rs 0 ~,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3130,77000,0,0,0,Usilampatti
Anantha Kumar N,IND,0,12th Pass,50,,,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3132,,,0,0,Usilampatti
Arunkumar M,IND,0,Post Graduate,33,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3129,120000,0,0,0,Usilampatti
Bharath V,My India Party,0,Graduate,29,,,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3127,,,0,0,Usilampatti
Dhanasekaran T,IND,0,12th Pass,35,"Rs 14,35,000 ~ 14 Lacs+",Rs 0 ~,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3134,1435000,0,0,0,Usilampatti
Iyndhukovilan G,Naam Tamilar Katchi,0,Post Graduate,54,"Rs 1,25,000 ~ 1 Lacs+",Rs 0 ~,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=141,125000,0,0,0,Usilampatti
Mahendran A,IND,0,10th Pass,54,,,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3135,,,0,0,Usilampatti
Mahendran I,Amma Makkal Munnettra Kazagam,1,Graduate,55,"Rs 5,43,15,740 ~ 5 Crore+","Rs 1,73,26,448 ~ 1 Crore+",USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3128,54315740,17326448,0,0,Usilampatti
Thiruselvam C,Puthiya Tamilagam,3,5th Pass,44,"Rs 24,48,000 ~ 24 Lacs+","Rs 7,50,000 ~ 7 Lacs+",USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3126,2448000,750000,0,0,Usilampatti
Panneerselvam,DMK,11,Post Graduate,66,"Rs 2,08,90,000 ~ 2 Crore+","Rs 40,23,572 ~ 40 Lacs+",SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2025,20890000,4023572,1,0,Sirkazhi (SC)
Anusuya,IND,0,12th Pass,41,"Rs 8,02,000 ~ 8 Lacs+",Rs 0 ~,SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2539,802000,0,0,0,Sirkazhi (SC)
Balu,Amma Makkal Munnettra Kazagam,0,Post Graduate,63,"Rs 62,94,367 ~ 62 Lacs+","Rs 9,80,000 ~ 9 Lacs+",SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2538,6294367,980000,0,0,Sirkazhi (SC)
Barathi,IND,0,Post Graduate,33,,,SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2536,,,0,0,Sirkazhi (SC)
Kamban,Anaithu Makkal Arasiyal Katchi,0,Others,35,"Rs 1,93,000 ~ 1 Lacs+",Rs 0 ~,SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2537,193000,0,0,0,Sirkazhi (SC)
Kavitha,Naam Tamilar Katchi,1,10th Pass,37,"Rs 4,64,000 ~ 4 Lacs+","Rs 35,000 ~ 35 Thou+",SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=642,464000,35000,0,0,Sirkazhi (SC)
P.V.Bharathi,AIADMK,0,Graduate,62,,,SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=641,,,0,0,Sirkazhi (SC)
Prabu,Makkal Needhi Maiam,0,12th Pass,52,"Rs 3,16,500 ~ 3 Lacs+","Rs 13,00,000 ~ 13 Lacs+",SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2535,316500,1300000,0,0,Sirkazhi (SC)
Silambarasan,IND,0,Others,34,,,SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2540,,,0,0,Sirkazhi (SC)
Srithar,BSP,0,Doctorate,37,"Rs 18,79,500 ~ 18 Lacs+","Rs 7,75,000 ~ 7 Lacs+",SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2026,1879500,775000,0,0,Sirkazhi (SC)
S Rajakumar,INC,1,Post Graduate,52,"Rs 8,27,82,454 ~ 8 Crore+","Rs 26,20,888 ~ 26 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1862,82782454,2620888,1,0,Mayiladuthurai
A Palanisamy,Pattali Makkal Katchi,3,Graduate,45,"Rs 58,50,000 ~ 58 Lacs+","Rs 21,00,000 ~ 21 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1864,5850000,2100000,0,0,Mayiladuthurai
Anbarasan Komal R K,Amma Makkal Munnettra Kazagam,0,Post Graduate,41,"Rs 3,80,11,420 ~ 3 Crore+","Rs 12,98,085 ~ 12 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2541,38011420,1298085,0,0,Mayiladuthurai
Babusankar.R,IND,0,8th Pass,54,,,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2548,,,0,0,Mayiladuthurai
Ganesan.S,IND,0,10th Pass,48,"Rs 19,75,000 ~ 19 Lacs+","Rs 10,40,000 ~ 10 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2544,1975000,1040000,0,0,Mayiladuthurai
K Kasiraman,Naam Tamilar Katchi,0,12th Pass,47,"Rs 1,68,92,827 ~ 1 Crore+",Rs 0 ~,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=117,16892827,0,0,0,Mayiladuthurai
Loga.Sampath,IND,0,12th Pass,59,,,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2545,,,0,0,Mayiladuthurai
M Rajendran,IND,0,10th Pass,58,"Rs 1,28,000 ~ 1 Lacs+",Rs 0 ~,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=116,128000,0,0,0,Mayiladuthurai
Manimaran.T,IND,0,Others,59,"Rs 26,55,000 ~ 26 Lacs+","Rs 90,000 ~ 90 Thou+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2549,2655000,90000,0,0,Mayiladuthurai
N Shamsudeen,BSP,0,Others,39,,,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1863,,,0,0,Mayiladuthurai
Niranjan.R,IND,1,Graduate Professional,37,"Rs 7,07,200 ~ 7 Lacs+","Rs 3,00,000 ~ 3 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2547,707200,300000,0,0,Mayiladuthurai
Rajkumar,Tamil Nadu Ilangyar Katchi,0,Post Graduate,32,"Rs 20,64,000 ~ 20 Lacs+","Rs 16,05,370 ~ 16 Lacs+",MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2543,2064000,1605370,0,0,Mayiladuthurai
Ravichandran.N,Makkal Needhi Maiam,0,Graduate,56,,,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2542,,,0,0,Mayiladuthurai
Thimothy.T,IND,0,5th Pass,59,"Rs 25,800 ~ 25 Thou+",Rs 0 ~,MAYILADUTHURAI,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2546,25800,0,0,0,Mayiladuthurai
A. Kalaivanan,IND,0,10th Pass,31,"Rs 2,10,107 ~ 2 Lacs+","Rs 1,00,000 ~ 1 Lacs+",POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2561,210107,100000,0,0,Poompuhar
M.H.Meharajdeen,Makkal Needhi Maiam,0,8th Pass,54,"Rs 13,00,000 ~ 13 Lacs+",Rs 0 ~,POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2560,1300000,0,0,0,Poompuhar
P Kaliyammal,Naam Tamilar Katchi,0,Graduate,35,,,POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=194,,,0,0,Poompuhar
S.Pandiyarajan,IND,0,Graduate Professional,30,"Rs 22,093 ~ 22 Thou+","Rs 1,82,000 ~ 1 Lacs+",POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2562,22093,182000,0,0,Poompuhar
S.Pavunraj,AIADMK,0,10th Pass,64,"Rs 6,09,56,621 ~ 6 Crore+","Rs 1,42,03,145 ~ 1 Crore+",POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=193,60956621,14203145,0,0,Poompuhar
S.Senthamizhan,Amma Makkal Munnettra Kazagam,2,12th Pass,41,,,POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2559,,,0,0,Poompuhar
T.Ilanchezhian,BSP,1,Graduate,45,"Rs 34,50,000 ~ 34 Lacs+",Rs 0 ~,POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1986,3450000,0,0,0,Poompuhar
J. Mohamed Shanavas,Viduthalai Chiruthaigal Katchi,1,12th Pass,39,"Rs 27,85,391 ~ 27 Lacs+",Rs 0 ~,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1894,2785391,0,1,0,Nagapattinam
C.Manjula,Amma Makkal Munnettra Kazagam,0,10th Pass,48,"Rs 4,47,18,495 ~ 4 Crore+","Rs 7,60,699 ~ 7 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1895,44718495,760699,0,0,Nagapattinam
J.V. Durai,Makkalatchi Katchi,0,Others,43,,,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1898,,,0,0,Nagapattinam
Mayilarasi,Naadaalum Makkal Katchi,0,12th Pass,36,"Rs 36,07,200 ~ 36 Lacs+","Rs 7,75,000 ~ 7 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1899,3607200,775000,0,0,Nagapattinam
S. Prem,IND,0,8th Pass,39,"Rs 39,743 ~ 39 Thou+",Rs 0 ~,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2566,39743,0,0,0,Nagapattinam
S.Augustine Arputharaj,Naam Tamilar Katchi,0,Others,40,,,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=556,,,0,0,Nagapattinam
Syed Anas Mohideen Sahip,Makkal Needhi Maiam,0,Graduate Professional,29,"Rs 1,03,97,940 ~ 1 Crore+","Rs 3,93,842 ~ 3 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1896,10397940,393842,0,0,Nagapattinam
T. Singaravadivelan,SHS,0,Others,41,"Rs 21,82,116 ~ 21 Lacs+","Rs 1,30,000 ~ 1 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1897,2182116,130000,0,0,Nagapattinam
Thanka.Kathiravan,AIADMK,0,Post Graduate,51,,,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=557,,,0,0,Nagapattinam
V. Canagaradjou,IND,0,12th Pass,45,"Rs 38,84,000 ~ 38 Lacs+","Rs 12,00,000 ~ 12 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2564,3884000,1200000,0,0,Nagapattinam
V. Manikandan,IND,0,Post Graduate,29,"Rs 78,500 ~ 78 Thou+","Rs 50,000 ~ 50 Thou+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2567,78500,50000,0,0,Nagapattinam
Nagaimaali V P,CPI(M),0,Graduate Professional,65,"Rs 19,38,170 ~ 19 Lacs+","Rs 12,21,050 ~ 12 Lacs+",KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1282,1938170,1221050,1,0,Kilvelur (SC)
Kalaiselvan G,IND,0,8th Pass,43,"Rs 4,21,000 ~ 4 Lacs+",Rs 0 ~,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1284,421000,0,0,0,Kilvelur (SC)
Maruthaiyan G,IND,0,5th Pass,73,"Rs 12,83,800 ~ 12 Lacs+","Rs 2,40,000 ~ 2 Lacs+",KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2571,1283800,240000,0,0,Kilvelur (SC)
Muthalagan S,Puthiya Tamilagam,0,Others,63,,,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1283,,,0,0,Kilvelur (SC)
Neethimohan M,Amma Makkal Munnettra Kazagam,0,Post Graduate,66,"Rs 3,81,77,309 ~ 3 Crore+","Rs 58,59,544 ~ 58 Lacs+",KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2569,38177309,5859544,0,0,Kilvelur (SC)
Ponelavazhaki S,Naam Tamilar Katchi,0,Post Graduate,34,,,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=498,,,0,0,Kilvelur (SC)
Sidhu G,Makkal Needhi Maiam,0,Graduate Professional,33,"Rs 74,94,690 ~ 74 Lacs+","Rs 1,83,90,894 ~ 1 Crore+",KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1281,7494690,18390894,0,0,Kilvelur (SC)
Tamilarasan U,BSP,0,12th Pass,44,"Rs 82,000 ~ 82 Thou+",Rs 0 ~,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2568,82000,0,0,0,Kilvelur (SC)
Vadivel Ravanan S,Pattali Makkal Katchi,0,10th Pass,69,,,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2570,,,0,0,Kilvelur (SC)
Vedha Mukundhan,IND,0,Post Graduate,46,"Rs 29,56,242 ~ 29 Lacs+",Rs 0 ~,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1857,2956242,0,0,0,Kilvelur (SC)
O.S.Manian,AIADMK,0,Others,66,,,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=136,,,1,0,Vedaranyam
