candidate,party,criminal_cases,education,age,total_assets,liabilities,2021_constituency,2021_district,myneta_url,total_assets_rs,liabilities_rs,sitting_MLA,bye_election
Saravanan.R,IND,0,Others,33,"Rs 77,97,000 ~ 77 Lacs+","Rs 4,60,000 ~ 4 Lacs+",GANGAVALLI (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1049,7797000,460000,0,0
"Sellammal,V.M.",BSP,0,8th Pass,47,,,GANGAVALLI (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2602,,,0,0
"Senthilkumar,K.",IND,0,Others,43,"Rs 10,500 ~ 10 Thou+",Rs 0 ~,GANGAVALLI (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2604,10500,0,0,0
Vinothini.R,Naam Tamilar Katchi,0,Post Graduate,26,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,GANGAVALLI (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1055,150000,0,0,0
A P Jayasankaran,AIADMK,0,Others,50,"Rs 5,61,14,528 ~ 5 Crore+","Rs 7,25,959 ~ 7 Lacs+",ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=67,56114528,725959,1,0
"Arumugam, D.",IND,0,5th Pass,46,"Rs 2,01,000 ~ 2 Lacs+",Rs 0 ~,ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2673,201000,0,0,0
J Silambarasan,IND,0,Illiterate,34,,,ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=841,,,0,0
"Janarthanam, A.",Dhesiya Makkal Kazhagam,0,12th Pass,27,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2672,60000,0,0,0
K Chinnadurai,DMK,1,Graduate Professional,55,"Rs 1,43,81,931 ~ 1 Crore+","Rs 31,69,630 ~ 31 Lacs+",ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1842,14381931,3169630,0,0
K K Matheswari,Anna Dravidar Kazhagam,0,Post Graduate,52,,,ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=844,,,0,0
P Sivakumar,Makkal Needhi Maiam,0,5th Pass,43,"Rs 11,46,000 ~ 11 Lacs+",Rs 0 ~,ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=843,1146000,0,0,0
"Periyannan, M.",BSP,0,8th Pass,38,"Rs 5,500 ~ 5 Thou+",Rs 0 ~,ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2671,5500,0,0,0
S Krishnaveni,Naam Tamilar Katchi,0,Post Graduate,28,,,ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=845,,,0,0
S Madheswaran,Amma Makkal Munnettra Kazagam,0,Graduate,53,"Rs 46,73,088 ~ 46 Lacs+",Rs 0 ~,ATTUR (SC),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=252,4673088,0,0,0
G. Chitra,AIADMK,0,5th Pass,40,"Rs 1,69,04,643 ~ 1 Crore+","Rs 5,50,785 ~ 5 Lacs+",YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=310,16904643,550785,1,0
C. Kumar,DMDK,0,8th Pass,41,"Rs 6,85,000 ~ 6 Lacs+","Rs 80,000 ~ 80 Thou+",YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2117,685000,80000,0,0
C. Tamilselvan,DMK,0,5th Pass,50,"Rs 36,62,439 ~ 36 Lacs+",Rs 0 ~,YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2118,3662439,0,0,0
D. Madesh,IND,0,Others,36,,,YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2695,,,0,0
Jothi,Naam Tamilar Katchi,0,Post Graduate,26,"Rs 2,18,966 ~ 2 Lacs+","Rs 4,41,010 ~ 4 Lacs+",YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=341,218966,441010,0,0
K. Manikandan,IND,0,Graduate Professional,27,,,YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2694,,,0,0
K. Unnamalai,IND,0,Illiterate,51,"Rs 3,25,800 ~ 3 Lacs+",Rs 0 ~,YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2690,325800,0,0,0
P. Ramasamy,BSP,0,8th Pass,40,"Rs 2,24,500 ~ 2 Lacs+",Rs 0 ~,YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2119,224500,0,0,0
P. Sathishkumar,IND,0,Graduate,26,,,YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2691,,,0,0
S.T. Rajendhiran,IND,0,12th Pass,39,"Rs 16,68,000 ~ 16 Lacs+","Rs 3,07,000 ~ 3 Lacs+",YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2689,1668000,307000,0,0
Santhosam,IND,0,8th Pass,31,"Rs 38,000 ~ 38 Thou+",Rs 0 ~,YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2692,38000,0,0,0
T. Duraisamy,Indiya Jananayaka Katchi,0,5th Pass,62,,,YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2688,,,0,0
T. Priya,IND,0,Graduate Professional,26,"Rs 16,180 ~ 16 Thou+",Rs 0 ~,YERCAUD (ST),SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2693,16180,0,0,0
R.Mani,AIADMK,1,Graduate Professional,43,"Rs 4,98,71,511 ~ 4 Crore+","Rs 2,06,15,757 ~ 2 Crore+",OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2655,49871511,20615757,1,0
A.Raja,Naam Tamilar Katchi,3,12th Pass,59,"Rs 1,51,69,000 ~ 1 Crore+",Rs 0 ~,OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2650,15169000,0,0,0
E.Mani,IND,0,10th Pass,47,"Rs 1,01,500 ~ 1 Lacs+",Rs 0 ~,OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2653,101500,0,0,0
K.Govindaraju,IND,0,10th Pass,44,,,OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2651,,,0,0
K.K.Madheswaran,Amma Makkal Munnettra Kazagam,2,Post Graduate,62,"Rs 1,28,20,015 ~ 1 Crore+","Rs 24,38,865 ~ 24 Lacs+",OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=220,12820015,2438865,0,0
M.Karunakaran,Tamil Nadu Ilangyar Katchi,0,Post Graduate,32,"Rs 1,98,176 ~ 1 Lacs+","Rs 11,91,441 ~ 11 Lacs+",OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2647,198176,1191441,0,0
N.V.Thomas,BSP,0,8th Pass,49,,,OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1922,,,0,0
P.Raja,IND,0,5th Pass,44,"Rs 7,95,000 ~ 7 Lacs+",Rs 0 ~,OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2657,795000,0,0,0
R.Murugan,IND,0,5th Pass,59,,,OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2656,,,0,0
Rangarajan Mohan Kumaramangalam,INC,1,Post Graduate,42,"Rs 48,76,36,609 ~ 48 Crore+","Rs 3,26,75,000 ~ 3 Crore+",OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1924,487636609,32675000,0,0
S.Dhivya,Dhesiya Makkal Kazhagam,0,Graduate Professional,27,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2649,60000,0,0,0
S.Mani,IND,0,10th Pass,53,,,OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2654,,,0,0
T.Suresh,IND,4,Graduate Professional,39,"Rs 82,17,570 ~ 82 Lacs+","Rs 1,70,000 ~ 1 Lacs+",OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2652,8217570,170000,0,0
V.Srinivasan,Makkal Needhi Maiam,0,Post Graduate,37,"Rs 18,99,411 ~ 18 Lacs+","Rs 7,00,000 ~ 7 Lacs+",OMALUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2648,1899411,700000,0,0
Sadhasivam.S,Pattali Makkal Katchi,2,Post Graduate,54,"Rs 2,78,12,072 ~ 2 Crore+","Rs 66,31,052 ~ 66 Lacs+",METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1877,27812072,6631052,1,0
Ambika.A,IND,0,10th Pass,30,"Rs 25,500 ~ 25 Thou+",Rs 0 ~,METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2710,25500,0,0,0
Anusuya.P,Makkal Needhi Maiam,0,Others,25,"Rs 1,70,611 ~ 1 Lacs+",Rs 0 ~,METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2707,170611,0,0,0
Arivazhagan.P,IND,0,Graduate Professional,51,,,METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2711,,,0,0
Banupriya.P,Ganasangam Party of India,0,Graduate,25,"Rs 1,07,700 ~ 1 Lacs+","Rs 40,502 ~ 40 Thou+",METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=39,107700,40502,0,0
C.Manikandan,Naam Tamilar Katchi,0,10th Pass,29,"Rs 19,46,521 ~ 19 Lacs+","Rs 75,000 ~ 75 Thou+",METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=550,1946521,75000,0,0
Dr.Padmarajan.K,IND,0,Post Graduate,60,,,METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=38,,,0,0
Ramesh Aravind,DMDK,0,10th Pass,42,"Rs 12,06,439 ~ 12 Lacs+","Rs 4,38,500 ~ 4 Lacs+",METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1875,1206439,438500,0,0
Rasappan.K,My India Party,0,8th Pass,57,"Rs 52,17,550 ~ 52 Lacs+","Rs 1,14,000 ~ 1 Lacs+",METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2709,5217550,114000,0,0
Sadhasivam.P,IND,1,Others,32,,,METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2712,,,0,0
Sekar.P,IND,0,8th Pass,54,"Rs 12,10,000 ~ 12 Lacs+",Rs 0 ~,METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2714,1210000,0,0,0
Selvan,IND,0,5th Pass,37,,,METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2713,,,0,0
Srinivasaperumal.S,DMK,5,12th Pass,46,"Rs 11,39,23,027 ~ 11 Crore+","Rs 7,44,23,163 ~ 7 Crore+",METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1876,113923027,74423163,0,0
Thangavel. K,Dhesiya Makkal Kazhagam,0,Illiterate,37,"Rs 18,000 ~ 18 Thou+",Rs 0 ~,METTUR,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2708,18000,0,0,0
Palaniswami K,AIADMK,0,Graduate,67,"Rs 6,70,37,269 ~ 6 Crore+","Rs 29,75,453 ~ 29 Lacs+",EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=88,67037269,2975453,1,0
Agni Sriramachandran. N,IND,0,10th Pass,40,"Rs 6,00,000 ~ 6 Lacs+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=15,600000,0,0,0
Balamurugan. M,IND,0,Graduate,34,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2724,20000,0,0,0
Balasubramaniam J,IND,0,10th Pass,49,,,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=396,,,0,0
Dr.K.Padmarajan,IND,0,Post Graduate,60,"Rs 15,11,000 ~ 15 Lacs+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=14,1511000,0,0,0
Eswaramoorthy P,IND,0,12th Pass,50,"Rs 4,12,500 ~ 4 Lacs+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2719,412500,0,0,0
Eswaramurthy N,IND,0,12th Pass,45,,,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1019,,,0,0
Eswari P,Ambedkarite Party of India,0,8th Pass,45,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1017,10000,0,0,0
Guheshkumar M,IND,0,Others,35,"Rs 6,31,638 ~ 6 Lacs+","Rs 2,05,022 ~ 2 Lacs+",EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1016,631638,205022,0,0
Gunasekaran. K.N,My India Party,0,Others,62,,,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2715,,,0,0
Iyyappan P,IND,0,Graduate Professional,37,"Rs 9,60,519 ~ 9 Lacs+","Rs 1,00,000 ~ 1 Lacs+",EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1018,960519,100000,0,0
Jamuna A,BSP,0,Graduate,25,"Rs 5,500 ~ 5 Thou+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=89,5500,0,0,0
Kathiravan. V,IND,1,Post Graduate,47,,,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2720,,,0,0
L. Kathiresan,IND,0,Post Graduate,48,"Rs 17,78,032 ~ 17 Lacs+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=16,1778032,0,0,0
Lakshmi. G,IND,0,Illiterate,51,Nil,Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2725,,0,0,0
Loganathan. S,IND,0,Literate,61,,,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2726,,,0,0
Mani. C,Dhesiya Makkal Kazhagam,0,Post Graduate,59,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2717,80000,0,0,0
Manikandan. R,Tamil Nadu Ilangyar Katchi,0,Graduate Professional,28,"Rs 4,28,960 ~ 4 Lacs+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2718,428960,0,0,0
Murugan M,IND,0,Graduate,32,,,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1020,,,0,0
Palanisamy. A,IND,0,10th Pass,56,"Rs 2,21,000 ~ 2 Lacs+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2723,221000,0,0,0
Pookadai Sekar N,Amma Makkal Munnettra Kazagam,3,10th Pass,54,,,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=90,,,0,0
Sambathkumar T,DMK,0,Post Graduate,36,"Rs 57,67,228 ~ 57 Lacs+","Rs 68,000 ~ 68 Thou+",EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1021,5767228,68000,0,0
Shanmugam. G,IND,0,10th Pass,51,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2721,100000,0,0,0
Shrirathna,Naam Tamilar Katchi,0,Post Graduate,33,,,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=61,,,0,0
Sownthararajan. G,IND,0,Others,29,"Rs 4,30,000 ~ 4 Lacs+","Rs 1,50,000 ~ 1 Lacs+",EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2722,430000,150000,0,0
Stalin A,IND,0,5th Pass,54,"Rs 41,40,000 ~ 41 Lacs+",Rs 0 ~,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1015,4140000,0,0,0
Suriyamoorthy. S,MGR Makkal Katchi,0,10th Pass,29,,,EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2716,,,0,0
Thasapparaj D,Makkal Needhi Maiam,0,10th Pass,62,"Rs 1,17,90,000 ~ 1 Crore+","Rs 10,000 ~ 10 Thou+",EDAPPADI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1014,11790000,10000,0,0
Sundararajan,AIADMK,0,Graduate,49,"Rs 3,03,07,813 ~ 3 Crore+","Rs 2,00,000 ~ 2 Lacs+",SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=175,30307813,200000,1,0
"Arokiasami, A.",IND,0,Graduate,58,"Rs 25,15,000 ~ 25 Lacs+","Rs 75,000 ~ 75 Thou+",SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=628,2515000,75000,0,0
"Bakkiyamani, M.",IND,0,Post Graduate,47,"Rs 21,50,000 ~ 21 Lacs+","Rs 1,51,200 ~ 1 Lacs+",SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2639,2150000,151200,0,0
"Chellamuthu, A.",Amma Makkal Munnettra Kazagam,3,8th Pass,55,,,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2618,,,0,0
"Durairaj, C.",IND,0,10th Pass,64,"Rs 15,85,000 ~ 15 Lacs+","Rs 2,60,000 ~ 2 Lacs+",SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2637,1585000,260000,0,0
"Gopalakrishnan, S.",IND,0,8th Pass,28,"Rs 2,52,947 ~ 2 Lacs+",Rs 0 ~,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2623,252947,0,0,0
"Gunasekaran, M.",IND,0,10th Pass,48,,,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2622,,,0,0
"Jaganathan, I.",IND,0,Graduate Professional,29,"Rs 13,63,600 ~ 13 Lacs+","Rs 10,20,000 ~ 10 Lacs+",SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2645,1363600,1020000,0,0
"Jagannathan, M.",IND,0,8th Pass,35,"Rs 23,86,120 ~ 23 Lacs+","Rs 26,68,125 ~ 26 Lacs+",SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2646,2386120,2668125,0,0
Km Rajesh,DMK,0,Post Graduate,41,,,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2012,,,0,0
"Manivel, P.",IND,0,Post Graduate,37,"Rs 2,28,000 ~ 2 Lacs+","Rs 60,000 ~ 60 Thou+",SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2641,228000,60000,0,0
"Palaniyappan, M.",IND,0,Others,55,"Rs 67,87,430 ~ 67 Lacs+","Rs 1,82,000 ~ 1 Lacs+",SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2638,6787430,182000,0,0
"Prabhu, K.",IND,0,5th Pass,40,,,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2640,,,0,0
"Ravikumar, P.",Ganasangam Party of India,0,12th Pass,41,"Rs 24,000 ~ 24 Thou+",Rs 0 ~,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2621,24000,0,0,0
"Sathishkumar, V.",IND,0,8th Pass,35,"Rs 1,43,190 ~ 1 Lacs+",Rs 0 ~,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2624,143190,0,0,0
"Sengodan, K.",Makkal Needhi Maiam,0,10th Pass,51,,,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2617,,,0,0
"Sengoten, R.",IND,0,5th Pass,32,"Rs 50,500 ~ 50 Thou+",Rs 0 ~,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2625,50500,0,0,0
"Settu, K.",My India Party,0,Literate,51,"Rs 2,02,750 ~ 2 Lacs+",Rs 0 ~,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2619,202750,0,0,0
"Shobana, S.",Naam Tamilar Katchi,0,Graduate,28,,,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2620,,,0,0
"Sivalingam, C.",Tamilaga Makkal Thannurimai Katchi,0,Post Graduate,42,"Rs 30,60,500 ~ 30 Lacs+",Rs 0 ~,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2616,3060500,0,0,0
"Vengadachalam, T.",IND,0,Others,37,,,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2644,,,0,0
"Vijayakumar, P.",IND,0,Others,31,"Rs 14,86,500 ~ 14 Lacs+","Rs 2,90,000 ~ 2 Lacs+",SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2642,1486500,290000,0,0
"Viji Alias Vijayan, K.",IND,0,10th Pass,32,"Rs 1,72,000 ~ 1 Lacs+",Rs 0 ~,SANKARI,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2643,172000,0,0,0
R Arul,Pattali Makkal Katchi,7,Graduate,49,"Rs 5,43,04,970 ~ 5 Crore+","Rs 1,18,67,948 ~ 1 Crore+",SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=177,54304970,11867948,1,0
A Kathirvel,My India Party,0,10th Pass,54,"Rs 63,50,000 ~ 63 Lacs+","Rs 3,00,000 ~ 3 Lacs+",SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=624,6350000,300000,0,0
A Rajendran,DMK,1,8th Pass,54,"Rs 58,86,049 ~ 58 Lacs+","Rs 76,79,629 ~ 76 Lacs+",SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2007,5886049,7679629,0,0
Alagapuram R Mohanraj,DMDK,6,12th Pass,67,,,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2008,,,0,0
Balaji. D,IND,0,10th Pass,33,"Rs 10,95,100 ~ 10 Lacs+",Rs 0 ~,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2750,1095100,0,0,0
Chandrasekaran. G,IND,0,10th Pass,38,"Rs 3,30,000 ~ 3 Lacs+","Rs 1,60,000 ~ 1 Lacs+",SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2734,330000,160000,0,0
Gopinath. R,IND,0,Graduate Professional,31,,,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2733,,,0,0
Inbaraj. A,IND,0,Illiterate,38,"Rs 3,80,973 ~ 3 Lacs+",Rs 0 ~,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2731,380973,0,0,0
Karthikeyan. J,Tamil Nadu Ilangyar Katchi,0,Post Graduate,36,"Rs 26,72,638 ~ 26 Lacs+","Rs 2,26,649 ~ 2 Lacs+",SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2727,2672638,226649,0,0
Kathavarayan. S,IND,0,Others,54,,,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2732,,,0,0
M Gopi,IND,0,Graduate,40,"Rs 3,21,000 ~ 3 Lacs+",Rs 0 ~,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=178,321000,0,0,0
M Jeevanantham,IND,0,Others,58,"Rs 4,27,000 ~ 4 Lacs+","Rs 1,00,000 ~ 1 Lacs+",SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=626,427000,100000,0,0
M Mayakannan,IND,0,Others,34,,,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=623,,,0,0
Marimuthu. M,IND,0,10th Pass,35,"Rs 3,61,500 ~ 3 Lacs+",Rs 0 ~,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2751,361500,0,0,0
Murugan. A,IND,1,Illiterate,54,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2752,30000,0,0,0
Natarajan. C,IND,0,Graduate,41,,,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2749,,,0,0
R Muthusamy,Tamilaga Makkal Thannurimai Katchi,0,Post Graduate,60,"Rs 2,32,070 ~ 2 Lacs+",Rs 0 ~,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=625,232070,0,0,0
Rajendiran. B,IND,0,Illiterate,46,,,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2754,,,0,0
Ramkumar. R,IND,0,10th Pass,42,"Rs 1,41,500 ~ 1 Lacs+",Rs 0 ~,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2753,141500,0,0,0
S Nagammal,Naam Tamilar Katchi,0,Others,34,"Rs 53,26,620 ~ 53 Lacs+","Rs 33,60,000 ~ 33 Lacs+",SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=622,5326620,3360000,0,0
S Tamilselvan,BSP,0,8th Pass,41,,,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2006,,,0,0
Sabbapathi. M,IND,0,Graduate,35,"Rs 6,39,263 ~ 6 Lacs+","Rs 2,94,000 ~ 2 Lacs+",SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2735,639263,294000,0,0
Sarathkumar. S,IND,0,12th Pass,26,"Rs 1,30,300 ~ 1 Lacs+",Rs 0 ~,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2736,130300,0,0,0
Senthilkumar. A,Anaithu Makkal Puratchi Katchi,0,12th Pass,43,,,SALEM WEST,SALEM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2728,,,0,0
